feature,gain,split
f190486d6,12.508256979390822,629
eeb9cd3aa,5.66262156706487,419
58e2e02e6,3.781215128083613,455
9fd594eec,3.0126054731300465,305
15ace8c9f,2.188850914394165,286
b43a7cfd5,1.3552897274156694,287
491b9ee45,1.2659215102234087,184
6eef030c1,1.261160648203303,281
024c577b9,1.1479939248697166,207
1702b5bf0,1.1280553536567615,205
20aa07010,1.0767013685253375,188
58232a6fb,1.009928558441666,220
f74e8f13d,0.9654378952774504,252
d6bb78916,0.9181054095780031,215
fb0f5dbfe,0.8971960781594,315
58e056e12,0.8724894406162174,257
c5a231d81,0.8328491548661652,197
64e483341,0.7877321412744511,92
45f6d00da,0.7874506399325691,111
f8b733d3f,0.7826436609498574,23
c47340d97,0.7689680510351027,150
6619d81fc,0.7110083591153717,154
70feb1494,0.667234542295781,179
f514fdb2e,0.6522251676491241,57
2288333b4,0.650438688155071,56
bb1113dbb,0.643577216343316,92
371da7669,0.6215032391127939,66
ced6a7e91,0.6121403198860975,109
e222309b0,0.5968578931419203,65
5c6487af1,0.5690587559320266,140
23310aa6f,0.5452886255473638,157
fb387ea33,0.5353466069815539,69
963a49cdc,0.5257381792537371,152
c9eda7d9c,0.5204347226096457,90
26fc93eb7,0.5143601941844159,146
4da206d28,0.5034360590181165,49
26ab20ff9,0.49756499339753846,86
3adf5e2b5,0.4899440093640652,28
adb64ff71,0.43617030959152636,144
1184df5c2,0.42971667515894524,98
1931ccfdd,0.41674009480114965,127
2ec5b290f,0.41326579371160815,132
fb49e4212,0.3762774979347377,128
cbeddb751,0.37248412072689563,57
324921c7b,0.3547284874024681,180
241f0f867,0.35320966789393093,136
66ace2992,0.3459283630153826,136
6cf7866c1,0.34156157317028885,44
13bdd610a,0.33686728265566157,72
fc99f9426,0.32035523377466485,115
9306da53f,0.3139650425633444,40
edc84139a,0.31356330113459435,90
bc70cbc26,0.3111032773514857,51
83c3779bf,0.30104397528832966,49
703885424,0.3001774480371962,111
190db8488,0.29635847218988237,111
1db387535,0.29372019339614247,116
9e3aea49a,0.28986216613072646,53
b6fa5a5fd,0.28012541949297204,87
9280f3d04,0.27390840662773913,109
16b532cdc,0.27253246115964586,40
fbaed5913,0.2711022046787205,21
62e59a501,0.27023956730083976,139
0d51722ca,0.2697824097001447,54
91f701ba2,0.2635120523196216,84
77eb013ca,0.2620286034247954,14
e176a204a,0.26193110008378206,94
73687e512,0.26069803427568217,44
715fa74a4,0.25139450168436966,10
ed8951a75,0.24992307553951615,50
6786ea46d,0.24499205510458752,34
0572565c2,0.24466515858737603,101
83635fb67,0.23756922174489262,43
e8f065c9d,0.2281407991818772,46
2ad744c57,0.22385115855772508,85
b98f3e0d7,0.22152745045595862,38
84ec1e3db,0.22022403298839466,49
55dbd6bcb,0.2202050341686972,77
9df4daa99,0.2196649807991794,77
b791ce9aa,0.2166169445274184,67
041c5d0c9,0.20953582504517976,66
951ef1246,0.20286353524735667,17
5f341a818,0.1998088440485054,82
d428161d9,0.199242625358301,65
ca96df1db,0.19865950150412826,72
4f2f6b0b3,0.19190237533834428,10
9f7b782ac,0.19105089525921518,73
1e6306c7c,0.18759730183589376,48
c928b4b74,0.18714846198859947,59
f6eba969e,0.18568714117420698,54
f9e3b03b7,0.1842754733021097,53
22ed6dba3,0.18315525714246683,56
58ed8fb53,0.1831405028366935,45
2570e2ba9,0.1826711066124949,52
cfc1ce276,0.1800890098761119,60
ea772e115,0.1793241062813762,52
e078302ef,0.1777238877450296,46
a78f85d49,0.17574240981961786,36
c1b9f4e76,0.1754617959605144,40
a396ceeb9,0.17465089604482978,43
df838756c,0.17277930905884095,57
0c9462c08,0.17199711112197433,51
29ab304b9,0.16520166313700552,90
bd8f989f1,0.16337241375546935,49
10f17bd3e,0.16193549973257665,43
81de0d45e,0.16122685979793847,54
9aa27017e,0.15906739219324767,29
402b0d650,0.15772580966919086,52
ce3d7595b,0.15623215206693156,62
37f57824c,0.15340567882757425,71
0ff32eb98,0.15311231542884793,83
1ba077222,0.15219070020532385,60
36a9a8479,0.1497416601402301,38
50e4f96cf,0.14831053366859206,33
961b91fe7,0.14698828554553628,48
f1e0ada11,0.14614472750445265,52
230a025ca,0.14540953545846175,36
bee629024,0.14408480378688945,44
b30e932ba,0.14231008807253107,41
dbfa2b77f,0.14125742976298775,32
f39074b55,0.13824118057021736,34
8337d1adc,0.13663678087793055,35
5d3b81ef8,0.1355175172806462,53
251d1aa17,0.13433039934518295,60
a3ef69ad5,0.1328781669176962,44
5dca793da,0.1324190765249358,62
1da5c1b6b,0.12614308120960213,71
9c404d218,0.12608975149029328,32
c270cb02b,0.1236462715308742,20
