ID,target
000137c73,3038708.7930902545
00021489f,2077824.2213365373
0004d7953,1729454.2781028482
00056a333,4060756.6854522573
00056d8eb,2409557.462717285
0005fc190,1293191.4548531247
000787e86,2647690.387170288
0008510a0,2150768.897470443
000895faf,1860945.9530333064
000986fba,2354945.876875567
0009efcc5,1955619.1560169756
000dd8f00,2279925.462539344
000e1cdc2,1643213.4022570064
00103739c,2154561.780372882
00134b367,1917524.530942188
001788d0d,1660130.4832716102
0019c8ad7,3257459.3094858755
001a267b9,903273.9186928419
001a85486,1775071.8614049575
001c4de06,3051088.6351919924
001f9014b,1436929.5731554055
00216fb94,2670690.16698715
00235690e,1948019.5117723695
00240739d,2776932.4021966504
0024c3747,2199051.9662779933
00297052d,1602797.2000021373
002ab8f85,2435012.495633324
002bed5c0,2445799.902830613
002bf3974,4557299.490857157
002d23a26,1825764.2663821732
002f27de9,1721417.7010951622
0030d8bb4,3341851.830663095
003146acd,2282285.7762733167
003223263,1652729.1228169564
00335575e,2359969.226578183
00337cf9d,3251091.323987202
003394397,3157237.300364206
0036358a3,1847769.2995668359
003770d30,1110991.0783159467
003bed5ea,2270827.2633406254
003ea6427,2879309.9317908236
003ef8132,1662149.7957403862
003fd1723,1659143.230789657
0041861b4,1326059.9443608879
0042b718b,1230367.747971188
004381d8f,3099738.836275306
0043ca764,1855154.328733085
004486837,3463110.027587317
0045c123e,1953789.9443609358
0048915c6,2643927.3838724024
004ab9a09,3077295.8463026504
004b2e1c9,3674391.5949148694
004c54732,1086584.009827771
004cdefce,2798495.6422136007
004dd971b,3597285.4181087813
004f9329b,2385318.7669772347
004fd2bca,1110530.0931964717
0054bfedb,1857120.1887907977
0054ec58a,362450.4364526208
00551f45d,8560010.704674935
005777b4c,995269.8375005923
00578d6ea,2057753.3390455344
005802488,1136388.14847138
0059833b6,825501.6562330549
005a70085,1987552.6286180036
005b148a0,2409757.4300267547
005c28df4,2223648.726132457
005f8dc26,2322994.2118404317
00603c202,5048913.257428441
006049609,1853089.183972265
00612f47e,2381604.7551411344
00647a57f,2428966.9464640585
0065853ee,2409557.462717285
006589d5e,1022460.1580277877
006598823,2263156.3947352157
0065c093c,2258938.1616240796
006738351,1674639.9679203695
006a0c6a8,2540975.053636475
006e9efe6,840180.1495459176
006f029d3,2329448.0415804205
0070f35a2,1162593.8592586983
007135f85,2409557.462717285
007285433,7052026.021712616
00735e101,1110833.9144836606
0074ecf4e,2270710.131438994
007635fa9,1873190.224696639
007723613,2426168.024221346
007867da9,2310843.1720076557
0078bfbd6,712902.4853983355
0078ce229,2405587.9152921694
007a89d50,1996483.3261972654
007d43dfa,1401324.3763524047
